Strain	Time	Count 	Dilution	CFU/ml	Experiment
WHO_N	60	12	1000000	1.20E+09	1
WHO_K	60	11	10	1.10E+04	1
WHO_A	0	4	1	4.00E+02	2
WHO_F	0	13	1	1.30E+03	2
WHO_G	0	4	1	4.00E+02	2
WHO_K	0	3	1	3.00E+02	2
WHO_L	0	5	1	5.00E+02	2
WHO_M	0	5	1	5.00E+02	2
WHO_N	0	3	1	3.00E+02	2
WHO_O	0	14	1	1.40E+03	2
WHO_P	0	4	1	4.00E+02	2
F89	0	5	1	5.00E+02	2
AZ-HLR	0	5	1	5.00E+02	2
ATCC49226	0	3	1	3.00E+02	2
WHO_A	2	11	1	1.10E+03	2
WHO_F	2	14	1	1.40E+03	2
WHO_G	2	7	1	7.00E+02	2
WHO_K	2	4	1	4.00E+02	2
WHO_L	2	3	1	3.00E+02	2
WHO_M	2	12	1	1.20E+03	2
WHO_N	2	6	1	6.00E+02	2
WHO_O	2	14	1	1.40E+03	2
WHO_P	2	7	1	7.00E+02	2
F89	2	9	1	9.00E+02	2
AZ-HLR	2	6	1	6.00E+02	2
ATCC49226	2	6	1	6.00E+02	2
WHO_A	4	17	1	1.70E+03	2
WHO_F	4	9	10	9.00E+03	2
WHO_G	4	6	10	6.00E+03	2
WHO_K	4	12	1	1.20E+03	2
WHO_L	4	5	10	5.00E+03	2
WHO_M	4	9	10	9.00E+03	2
WHO_N	4	5	1	5.00E+02	2
WHO_O	4	20	1	2.00E+03	2
WHO_P	4	7	1	7.00E+02	2
F89	4	9	1	9.00E+02	2
AZ-HLR	4	12	1	1.20E+03	2
ATCC49226	4	13	1	1.30E+03	2
WHO_A	6	19	10	1.90E+04	2
WHO_F	6	16	100	1.60E+05	2
WHO_G	6	17	10	1.70E+04	2
WHO_K	6	15	10	1.50E+04	2
WHO_L	6	8	1	8.00E+02	2
WHO_M	6	18	10	1.80E+04	2
WHO_N	6	21	1	2.10E+03	2
WHO_O	6	8	10	8.00E+03	2
WHO_P	6	6	10	6.00E+03	2
F89	6	11	10	1.10E+04	2
AZ-HLR	6	8	10	8.00E+03	2
ATCC49226	6	16	10	1.60E+04	2
WHO_A	8	17	100	1.70E+05	2
WHO_F	8	11	1000	1.10E+06	2
WHO_G	8	20	100	2.00E+05	2
WHO_K	8	19	10	1.90E+04	2
WHO_L	8	15	10	1.50E+04	2
WHO_M	8	13	100	1.30E+05	2
WHO_N	8	15	10	1.50E+04	2
WHO_O	8	6	100	6.00E+04	2
WHO_P	8	5	100	5.00E+04	2
F89	8	24	10	2.40E+04	2
AZ-HLR	8	28	10	2.80E+04	2
ATCC49226	8	10	100	1.00E+05	2
WHO_A	10	7	1000	7.00E+05	2
WHO_F	10	23	1000	2.30E+06	2
WHO_G	10	7	1000	7.00E+05	2
WHO_K	10	21	100	2.10E+05	2
WHO_L	10	22	10	2.20E+04	2
WHO_M	10	16	1000	1.60E+06	2
WHO_N	10	28	100	2.80E+05	2
WHO_O	10	9	100	9.00E+04	2
WHO_P	10	23	100	2.30E+05	2
F89	10	13	100	1.30E+05	2
AZ-HLR	10	14	100	1.40E+05	2
ATCC49226	10	24	100	2.40E+05	2
WHO_A	12	4	10000	4.00E+06	2
WHO_F	12	15	10000	1.50E+07	2
WHO_G	12	10	10000	1.00E+07	2
WHO_K	12	15	1000	1.50E+06	2
WHO_L	12	11	100	1.10E+05	2
WHO_M	12	9	10000	9.00E+06	2
WHO_N	12	8	1000	8.00E+05	2
WHO_O	12	6	1000	6.00E+05	2
WHO_P	12	21	1000	2.10E+06	2
F89	12	6	1000	6.00E+05	2
AZ-HLR	12	6	1000	6.00E+05	2
ATCC49226	12	17	1000	1.70E+06	2
WHO_A	20	6	100000	6.00E+07	2
WHO_F	20	4	100000	4.00E+07	2
WHO_G	20	9	1000000	9.00E+08	2
WHO_K	20	9	100000	9.00E+07	2
WHO_L	20	23	1000	2.30E+06	2
WHO_M	20	6	1000000	6.00E+08	2
WHO_N	20	9	100000	9.00E+07	2
WHO_O	20	11	100000	1.10E+08	2
WHO_P	20	12	100000	1.20E+08	2
F89	20	12	100000	1.20E+08	2
AZ-HLR	20	9	100000	9.00E+07	2
ATCC49226	20	12	100000	1.20E+08	2
WHO_A	22	12	100000	1.20E+08	2
WHO_F	22	22	100000	2.20E+08	2
WHO_G	22	10	1000000	1.00E+09	2
WHO_K	22	12	100000	1.20E+08	2
WHO_L	22	29	1000	2.90E+06	2
WHO_M	22	10	1000000	1.00E+09	2
WHO_N	22	21	100000	2.10E+08	2
WHO_O	22	22	100000	2.20E+08	2
WHO_P	22	27	100000	2.70E+08	2
F89	22	21	100000	2.10E+08	2
AZ-HLR	22	21	100000	2.10E+08	2
ATCC49226	22	20	100000	2.00E+08	2
WHO_A	24	16	100000	1.60E+08	2
WHO_F	24	13	1000000	1.30E+09	2
WHO_G	24	24	1000000	2.40E+09	2
WHO_K	24	14	100000	1.40E+08	2
WHO_L	24	5	100000	5.00E+07	2
WHO_M	24	29	100000	2.90E+08	2
WHO_N	24	4	1000000	4.00E+08	2
WHO_O	24	7	1000000	7.00E+08	2
WHO_P	24	7	1000000	7.00E+08	2
F89	24	7	1000000	7.00E+08	2
AZ-HLR	24	7	1000000	7.00E+08	2
ATCC49226	24	9	1000000	9.00E+08	2
WHO_A	26	6	1000000	6.00E+08	2
WHO_F	26	29	1000000	2.90E+09	2
WHO_G	26	22	1000000	2.20E+09	2
WHO_K	26	11	100000	1.10E+08	2
WHO_L	26	18	100000	1.80E+08	2
WHO_M	26	23	1000000	2.30E+09	2
WHO_N	26	13	1000000	1.30E+09	2
WHO_O	26	16	1000000	1.60E+09	2
WHO_P	26	8	1000000	8.00E+08	2
F89	26	18	100000	1.80E+08	2
AZ-HLR	26	13	1000000	1.30E+09	2
ATCC49226	26	6	1000000	6.00E+08	2
WHO_A	28	5	1000000	5.00E+08	2
WHO_F	28	31	1000000	3.10E+09	2
WHO_G	28	18	1000000	1.80E+09	2
WHO_K	28	11	1000000	1.10E+09	2
WHO_L	28	10	100000	1.00E+08	2
WHO_M	28	16	1000000	1.60E+09	2
WHO_N	28	19	1000000	1.90E+09	2
WHO_O	28	13	1000000	1.30E+09	2
WHO_P	28	7	1000000	7.00E+08	2
F89	28	16	100000	1.60E+08	2
AZ-HLR	28	9	1000000	9.00E+08	2
ATCC49226	28	5	1000000	5.00E+08	2
WHO_A	30	22	1000000	2.20E+09	2
WHO_F	30	15	10000000	1.50E+10	2
WHO_G	30	5	100000000	5.00E+10	2
WHO_K	30	24	1000000	2.40E+09	2
WHO_L	30	17	10000	1.70E+07	2
WHO_M	30	24	1000000	2.40E+09	2
WHO_N	30	12	10000000	1.20E+10	2
WHO_O	30	16	10000000	1.60E+10	2
WHO_P	30	13	1000000	1.30E+09	2
F89	30	9	1000000	9.00E+08	2
AZ-HLR	30	28	1000000	2.80E+09	2
ATCC49226	30	25	1000000	2.50E+09	2
WHO_A	32	12	10000000	1.20E+10	2
WHO_F	32	28	10000000	2.80E+10	2
WHO_G	32	33	10000000	3.30E+10	2
WHO_K	32	11	1000000	1.10E+09	2
WHO_L	32	8	100000	8.00E+07	2
WHO_M	32	7	1000000	7.00E+08	2
WHO_N	32	25	10000000	2.50E+10	2
WHO_O	32	28	10000000	2.80E+10	2
WHO_P	32	9	1000000	9.00E+08	2
F89	32	5	1000000	5.00E+08	2
AZ-HLR	32	21	1000000	2.10E+09	2
ATCC49226	32	18	1000000	1.80E+09	2
WHO_A	34	19	1000000	1.90E+09	2
WHO_F	34	24	1000000	2.40E+09	2
WHO_G	34	24	1000000	2.40E+09	2
WHO_K	34	5	1000000	5.00E+08	2
WHO_L	34	7	100000	7.00E+07	2
WHO_M	34	8	1000000	8.00E+08	2
WHO_N	34	9	10000000	9.00E+09	2
WHO_O	34	11	10000000	1.10E+10	2
WHO_P	34	13	1000000	1.30E+09	2
F89	34	21	1000000	2.10E+09	2
AZ-HLR	34	8	1000000	8.00E+08	2
ATCC49226	34	23	1000000	2.30E+09	2
WHO_A	36	7	10000000	7.00E+09	2
WHO_F	36	12	10000000	1.20E+10	2
WHO_G	36	8	10000000	8.00E+09	2
WHO_K	36	21	1000000	2.10E+09	2
WHO_L	36	7	10000	7.00E+06	2
WHO_M	36	26	1000000	2.60E+09	2
WHO_N	36	9	10000000	9.00E+09	2
WHO_O	36	15	10000000	1.50E+10	2
WHO_P	36	23	1000000	2.30E+09	2
F89	36	9	1000000	9.00E+08	2
AZ-HLR	36	23	1000000	2.30E+09	2
ATCC49226	36	18	1000000	1.80E+09	2
WHO_A	44	5	10000000	5.00E+09	2
WHO_F	44	18	10000000	1.80E+10	2
WHO_G	44	15	10000	1.50E+07	2
WHO_K	44	16	1000000	1.60E+09	2
WHO_L	44	16	10000	1.60E+07	2
WHO_M	44	12	100000	1.20E+08	2
WHO_N	44	33	1000000	3.30E+09	2
WHO_O	44	8	10000	8.00E+06	2
WHO_P	44	26	1000000	2.60E+09	2
F89	44	24	1000000	2.40E+09	2
AZ-HLR	44	9	100000	9.00E+07	2
ATCC49226	44	12	100000	1.20E+08	2
WHO_A	46	15	1000000	1.50E+09	2
WHO_F	46	3	100000000	3.00E+10	2
WHO_G	46	9	10000	9.00E+06	2
WHO_K	46	20	100000	2.00E+08	2
WHO_L	46	5	10000	5.00E+06	2
WHO_M	46	24	10000	2.40E+07	2
WHO_N	46	12	1000000	1.20E+09	2
WHO_O	46	16	1000	1.60E+06	2
WHO_P	46	25	1000000	2.50E+09	2
F89	46	19	1000000	1.90E+09	2
AZ-HLR	46	25	10000	2.50E+07	2
ATCC49226	46	12	100000	1.20E+08	2
WHO_A	48	4	1000000	4.00E+08	2
WHO_F	48	14	1000	1.40E+06	2
WHO_G	48	7	10000	7.00E+06	2
WHO_K	48	18	10000	1.80E+07	2
WHO_L	48	31	100000	3.10E+08	2
WHO_M	48	19	10000	1.90E+07	2
WHO_N	48	12	1000000	1.20E+09	2
WHO_O	48	6	1000	6.00E+05	2
WHO_P	48	9	1000000	9.00E+08	2
F89	48	19	10000	1.90E+07	2
AZ-HLR	48	28	10000	2.80E+07	2
ATCC49226	48	4	100000	4.00E+07	2
WHO_A	60	4	100	4.00E+04	2
WHO_F	60	0	1	0.00E+00	2
WHO_G	60	4	1	4.00E+02	2
WHO_K	60	0	0	0.00E+00	2
WHO_L	60	15	100000	1.50E+08	2
WHO_M	60	5	1000	5.00E+05	2
WHO_N	60	24	1000000	2.40E+09	2
WHO_O	60	0	1	0.00E+00	2
WHO_P	60	4	100	4.00E+04	2
F89	60	7	1000	7.00E+05	2
AZ-HLR	60	10	10000	1.00E+07	2
ATCC49226	60	11	100	1.10E+05	2
WHO_A	0	4	1	4.00E+02	3
WHO_F	0	8	1	8.00E+02	3
WHO_G	0	8	1	8.00E+02	3
WHO_K	0	5	1	5.00E+02	3
WHO_L	0	8	1	8.00E+02	3
WHO_M	0	6	1	6.00E+02	3
WHO_N	0	6	1	6.00E+02	3
WHO_O	0	4	1	4.00E+02	3
WHO_P	0	9	1	9.00E+02	3
F89	0	4	1	4.00E+02	3
AZ-HLR	0	8	1	8.00E+02	3
ATCC49226	0	2	1	2.00E+02	3
WHO_A	2	6	1	6.00E+02	3
WHO_F	2	8	1	8.00E+02	3
WHO_G	2	11	1	1.10E+03	3
WHO_K	2	4	1	4.00E+02	3
WHO_L	2	8	1	8.00E+02	3
WHO_M	2	8	1	8.00E+02	3
WHO_N	2	6	1	6.00E+02	3
WHO_O	2	7	1	7.00E+02	3
WHO_P	2	6	1	6.00E+02	3
F89	2	3	1	3.00E+02	3
AZ-HLR	2	7	1	7.00E+02	3
ATCC49226	2	2	1	2.00E+02	3
WHO_A	4	12	1	1.20E+03	3
WHO_F	4	16	1	1.60E+03	3
WHO_G	4	23	1	2.30E+03	3
WHO_K	4	12	1	1.20E+03	3
WHO_L	4	7	1	7.00E+02	3
WHO_M	4	7	1	7.00E+02	3
WHO_N	4	16	1	1.60E+03	3
WHO_O	4	15	1	1.50E+03	3
WHO_P	4	17	1	1.70E+03	3
F89	4	9	1	9.00E+02	3
AZ-HLR	4	15	1	1.50E+03	3
ATCC49226	4	7	1	7.00E+02	3
WHO_A	6	7	10	7.00E+03	3
WHO_F	6	18	10	1.80E+04	3
WHO_G	6	17	10	1.70E+04	3
WHO_K	6	21	10	2.10E+04	3
WHO_L	6	4	10	4.00E+03	3
WHO_M	6	18	10	1.80E+04	3
WHO_N	6	11	10	1.10E+04	3
WHO_O	6	9	10	9.00E+03	3
WHO_P	6	5	10	5.00E+03	3
F89	6	11	10	1.10E+04	3
AZ-HLR	6	7	10	7.00E+03	3
ATCC49226	6	5	10	5.00E+03	3
WHO_A	8	3	100	3.00E+04	3
WHO_F	8	17	100	1.70E+05	3
WHO_G	8	16	100	1.60E+05	3
WHO_K	8	10	100	1.00E+05	3
